title;latitude;longitude;image;description
Sivrisinek bal???;27,468056;38,02;;
1;27,275;37,986667;;
1;26,911389;38,601944;;
1;27,5;38,571111;;
1;27,998611;38,598611;;
1;30,586111;37,101111;;
1;31,454167;36,755278;;
1;35,315;37,048889;;
1;35,769722;37,057222;;
1;31,128056;38,613889;;
1;30,815278;38,427778;;
1;29,870278;38,204444;;
1;28,832222;36,681111;;
1;29,035556;36,697222;;
1;27,626944;37,254444;;
1;27,523056;37,478611;;
1;27,440278;37,588611;;
1;27,323056;37,993889;;
1;27,330278;37,943333;;
1;27,301944;37,986944;;
1;30,849167;38,079722;;
1;31,440278;37,743333;;
1;30,223889;38,065;;
1;29,894167;37,800833;;
1;29,124167;37,778889;;
1;29,048056;38,376944;;
1;28,456111;40,206667;;
1;29,364444;40,415;;
1;36,496389;36,505833;;
1;37,651111;37,794444;;
1;26,619722;41,638611;;
1;27,976944;41,868056;;
1;30,467778;40,834167;;
1;30,276111;40,693333;;
1;31,0575;40,754167;;
1;32,783333;39,769167;;
1;31,338611;39,421389;;
1;40,2925;37,921389;;
1;36,69;36,856944;;
1;31,5525;36,716944;;
1;31,6575;36,669167;;
1;32,820278;36,041944;;
1;33,993611;36,321111;;
1;34,893333;36,953611;;
1;35,008333;36,750833;;
1;35,381389;36,592778;;
1;35,32;36,6325;;
1;35,369722;36,601111;;
1;35,919722;37,3975;;
1;33,2;38,921944;;
1;28,711944;36,718611;;
1;28,706667;36,714444;;
1;28,710278;36,707778;;
1;28,817778;36,697778;;
1;28,697222;36,908611;;
1;27,711944;37,306667;;
1;27,3575;37,573056;;
1;30,058056;37,4525;;
1;29,104167;38,321111;;
1;26,815556;38,616111;;
1;37,029722;41,185;;
1;36,017778;41,663611;;
1;27,010833;38,956111;;
1;27,841111;40,162222;;
1;26,620278;41,551667;;
1;26,651667;38,329444;;
1;36,087499;36,100554;;
1;36,687278;36,855686;;
1;31,831327;38,957827;;
1;31,622476;39,24207;;
1;35,890974;41,581577;;
1;31,331769;39,277093;;
1;31,058651;39,353289;;
1;36,386167;36,246831;;
1;31,323441;39,050112;;
1;31,613931;39,151016;;
1;30,298824;40,538333;;
1;31,718948;39,161391;;
1;36,48992;36,512137;;
1;36,413327;36,391327;;
1;36,56798;36,23822;;
1;35,948075;36,081344;;
1;31,443682;40,03181;;
1;30,082997;39,576915;;
1;30,17448;40,712428;;
1;31,66537;39,200634;;
1;35,987656;36,074658;;
1;31,123205;39,414579;;
1;28,556671;41,059442;;
1;28,569166;41,351384;;
